HP,X,Y,Z,Rx,Ry,Rz
3,-0.536402,0.538178,0.650116,-94.85344946280536,65.1089184863838,-132.16096603917427
4,0.536404,0.538176,0.650114,-94.85379323748242,-65.10931955684038,132.16159629274892
5,-0.197874,-0.733627,0.650112,-8.959570225578736,-114.69950427476729,-132.1607368560562
6,-0.734276,0.195449,0.650112,103.81210295591188,-49.59052849260399,132.16079415183572
1,0.734276,0.195447,0.650105,103.81164458967577,49.590471196824474,-132.1610806307333
2,0.197873,-0.733627,0.650112,-8.95911185934263,114.6996188663263,132.16102333495377
