,ID,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90
Fz_035,135,1430.179,1472.520,1503.655,1523.346,1531.443,1527.885,1512.699,1486.001,1447.993,1398.965,1339.290,1269.422,1189.893,1101.309,1004.342,899.732,788.275,670.818,548.256
Fz_036,136,941.249,981.698,1014.675,1039.930,1057.271,1066.565,1067.742,1060.793,1045.770,1022.789,992.023,953.708,908.134,855.649,796.652,731.592,660.964,585.306,505.193
Fz_037,137,1218.340,1220.348,1213.068,1196.556,1170.937,1136.407,1093.228,1041.729,982.301,915.398,841.528,761.254,675.186,583.979,488.328,388.960,286.632,182.123,76.228
Fz_038,138,1223.406,1190.910,1149.350,1099.043,1040.372,973.782,899.782,818.934,731.853,639.202,541.687,440.049,335.062,227.525,118.257,8.088,-102.142,-211.595,-319.437
Fz_039,139,783.056,834.073,878.742,916.724,947.728,971.520,987.917,996.797,998.089,991.786,977.935,956.641,928.067,892.429,849.999,801.101,746.105,685.431,619.541
Fz_040,140,1176.689,1258.603,1330.938,1393.144,1444.747,1485.355,1514.659,1532.435,1538.548,1532.952,1515.689,1486.892,1446.777,1395.652,1333.906,1262.007,1180.504,1090.016,991.233
Fz_041,141,1095.928,1201.521,1297.971,1384.541,1460.575,1525.493,1578.800,1620.092,1649.055,1665.467,1669.203,1660.237,1638.634,1604.561,1558.276,1500.132,1430.570,1350.122,1259.398
Fz_042,142,1062.856,1184.587,1297.303,1400.146,1492.332,1573.161,1642.018,1698.377,1741.811,1771.989,1788.681,1791.760,1781.202,1757.089,1719.603,1669.030,1605.754,1530.258,1443.115
Fz_043,143,485.183,475.756,462.709,446.140,426.176,402.968,376.693,347.552,315.765,281.575,245.243,207.043,167.269,126.221,84.212,41.563,-1.403,-44.358,-86.975
Fz_044,207,697.452,694.484,686.231,672.755,654.159,630.584,602.211,569.254,531.965,490.627,445.555,397.093,345.608,291.493,235.159,177.036,117.566,57.200,-3.600
Fz_045,208,847.067,837.863,822.282,800.443,772.512,738.702,699.270,654.516,604.781,550.443,491.916,429.645,364.105,295.793,225.230,152.953,79.512,5.465,-68.622
Fz_046,209,887.166,871.661,849.522,820.918,786.066,745.231,698.725,646.901,590.153,528.915,463.651,394.858,323.060,248.804,172.654,95.190,17.001,-61.317,-139.168
Fz_047,210,1132.941,1115.243,1089.058,1054.584,1012.084,961.881,904.358,839.953,769.154,692.502,610.580,524.011,433.453,339.597,243.157,144.865,45.472,-54.268,-153.595
