Index,ID,X Position,Y Position,Z Position,Type,Subnet,Address,Orientation,Primary Axis Low Limit,Primary Axis High Limit,Secondary Axis Low Limit,Secondary Axis High Limit
58,223,-2441.27002,-1729.81995,-89.00000,DAA,3,+Y,-3800,3800,-3800,3800
59,224,-3107.08008,-1729.81995,-89.00000,DAA,1,+Y,-3800,3800,-3800,3800
60,225,-3724.44995,-1517.94995,-89.00000,SAA,4,NA,-3800,3800,-3800,3800
61,227,-776.78302,-2306.41992,-89.00000,DAA,3,+Y,-3800,3800,-3800,3800
62,228,-1442.56995,-2306.41992,-89.00000,DAA,1,+X,-3800,3800,-3800,3800
63,229,-2108.37988,-2306.41992,-89.00000,DAA,4,+Y,-3800,3800,-3800,3800
64,230,-2774.18994,-2306.41992,-89.00000,DAA,2,+Y,-3800,3800,-3800,3800
65,231,-3387.94995,-2167.40991,-89.00000,SAA,3,NA,-3800,3800,-3800,3800
66,232,-443.86499,-2883.03003,-89.00000,DAA,1,+Y,-3800,3800,-3800,3800
67,233,-1109.68005,-2883.03003,-89.00000,DAA,4,+Y,-3800,3800,-3800,3800
68,234,-1775.48999,-2883.03003,-89.00000,DAA,2,+Y,-3800,3800,-3800,3800
69,235,-2441.27002,-2883.03003,-89.00000,DAA,3,+X,-3800,3800,-3800,3800
70,236,-2939.36011,-2745.17993,-89.00000,SAA,4,NA,-3800,3800,-3800,3800
71,237,-221.94501,-3459.62988,-89.00000,DAA,2,+Y,-3800,3800,-3800,3800
72,238,-887.72998,-3459.62988,-89.00000,DAA,3,+Y,-3800,3800,-3800,3800
73,239,-1553.54004,-3267.42993,-89.00000,SAA,1,NA,-3800,3800,-3800,3800
74,240,-2089.72998,-3436.38989,-89.00000,SAA,4,NA,-3800,3800,-3800,3800
75,241,-365.73499,-4005.25000,-89.00000,SAA,1,NA,-3800,3800,-3800,3800
76,242,-1085.08997,-3872.76001,-89.00000,SAA,2,NA,-3800,3800,-3800,3800
77,243,-1604.01001,-3692.78003,-89.00000,SAA,3,NA,-3800,3800,-3800,3800
78,301,-776.78302,0.00000,-89.00000,SAA,3,NA,-3800,3800,-3800,3800
79,302,-1442.56995,0.00000,-89.00000,DAA,1,+Y,-3800,3800,-3800,3800
80,303,-2108.37988,0.00000,-89.00000,DAA,4,+Y,-3800,3800,-3800,3800
81,304,-2774.18994,0.00000,-89.00000,DAA,2,+Y,-3800,3800,-3800,3800
82,305,-3440.00000,0.00000,-89.00000,DAA,3,+Y,-3800,3800,-3800,3800
83,306,-3968.01001,0.00000,-89.00000,SAA,2,NA,-3800,3800,-3800,3800
84,307,-443.86499,576.60541,-89.00000,SAA,1,NA,-3800,3800,-3800,3800
85,308,-1109.68005,576.60541,-89.00000,DAA,4,+Y,-3800,3800,-3800,3800
86,309,-1775.48999,576.60541,-89.00000,DAA,2,+Y,-3800,3800,-3800,3800
87,310,-2441.30005,576.60541,-89.00000,DAA,3,+Y,-3800,3800,-3800,3800
88,311,-3107.08008,576.60541,-89.00000,DAA,1,-Y,-3800,3800,-3800,3800
89,312,-3772.88989,576.60541,-89.00000,DAA,4,+X,-3800,3800,-3800,3800
90,313,0.00000,1153.21106,-89.00000,DAA,2,+Y,-3800,3800,-3800,3800
91,314,-776.78302,1153.21106,-89.00000,DAA,3,+Y,-3800,3800,-3800,3800
92,315,-1442.56995,1153.21106,-89.00000,DAA,1,+Y,-3800,3800,-3800,3800
93,316,-2108.37988,1153.21106,-89.00000,DAA,4,+Y,-3800,3800,-3800,3800
94,317,-2774.18994,1153.21106,-89.00000,DAA,2,+Y,-3800,3800,-3800,3800
95,318,-3440.00000,1153.21106,-89.00000,DAA,3,+Y,-3800,3800,-3800,3800
