ID,DataIndex
101,-1
102,0
103,1
104,2
105,3
106,-1
107,-1
108,4
109,5
110,6
111,7
112,8
113,9
114,10
115,11
116,12
117,13
118,14
119,-1
120,15
121,16
122,17
123,18
124,19
125,-1
126,20
127,21
128,22
129,23
130,24
131,-1
132,25
133,26
134,27
135,28
136,-1
137,29
138,30
139,-1
140,-1
141,-1
142,-1
143,-1
207,-1
208,31
209,32
210,33
211,34
212,35
214,36
215,37
216,-1
217,38
218,39
219,40
220,41
221,42
222,43
223,44
224,45
225,-1
227,46
228,47
229,48
230,49
231,-1
232,50
233,51
234,52
235,53
236,-1
237,54
238,55
239,-1
240,-1
241,-1
242,-1
243,-1
301,-1
302,56
303,57
304,58
305,59
306,-1
307,-1
308,60
309,61
310,62
311,63
312,64
313,65
314,66
315,67
316,68
317,69
318,70
319,-1
320,71
321,72
322,73
323,74
324,75
325,-1
326,76
327,77
328,78
329,79
330,80
331,-1
332,81
333,82
334,83
335,84
336,-1
337,85
338,86
339,-1
340,-1
341,-1
342,-1
343,-1
407,-1
408,87
409,88
410,89
411,90
412,91
414,92
415,93
416,94
417,95
418,96
419,-1
420,97
421,98
422,99
423,100
424,101
425,-1
427,102
428,103
429,104
430,105
431,-1
432,106
433,107
434,108
435,109
436,-1
437,110
438,111
439,-1
440,-1
441,-1
442,-1
443,-1
