HP,X,Y,Z,Rx,Ry,Rz
3,-0.367990078,0.367991451,-0.034759631,-0.402749288,0.402753386,0.034759629
4,0.252595889,0.252594567,-0.444989634,0.192394103,0.192393526,-0.444988711
5,0.256365728,0.256364764,0.256365225,0.256367768,0.256368103,0.256365302
6,-0.119233903,-0.119233281,-0.043984184,0.163219241,0.163219008,-0.043984022
1,0.119628425,-0.119628069,-0.163073878,-0.043445694,0.043445122,0.163074195
2,-0.072254971,0.072254958,-0.072255091,0.072254821,-0.072255242,0.072254969
