ID,XForce
112,-3.159346923
128,-10.92396252
135,-20.46437489
212,-3.298136781
228,-0.80009107
235,-21.1649202
312,1.881006021
328,5.517014196
335,17.64956772
412,-0.83847608
428,9.109991289
435,11.5250563
