ID,Fx,Fy,Fz,Mx,My,Mz
1,-0.537951127,0.537978215,0.741535212,0.20357124,-0.203584528,-0.741551772
2,-0.545664289,-0.545670097,-0.193046605,0.738738926,0.738711639,-0.193071931
3,-0.642541103,-0.64251349,-0.642540689,-0.642513462,-0.642540625,-0.642513968
4,1.470682833,1.470578579,-1.849344073,0.37915142,0.3790854,-1.849313855
5,1.287305428,-1.285880066,0.630953013,1.917461965,-1.916093256,-0.629419761
6,-2.32450824,2.323383964,-2.323832733,2.324757698,-2.322991346,2.323506302
